dag_id,uuid,sub_time,arrival_time,start_exec_time,finish_exec_time,exec_time,leave_time,completion_time,response_time
8f80e01c-1296-4371-9486-bb3d68651a60,047e4127-fe4f-4128-ad4f-f69c8781367c,1754828305.8050127,1754828305.8076887,1754828305.8069828,1754828366.363013,60.5560302734375,1754828366.3755095,60.55532431602478,60.570496797561646
171dd6d2-d1d4-439b-8d4e-7507018a816b,435def09-2d93-414f-a71c-eb3d01d390a8,1754828441.2890198,1754828441.2906883,1754828441.2927241,1754828502.1709116,60.87818741798401,1754828502.182127,60.88022327423096,60.893107175827026
6359a0b1-8f7b-499b-9336-840f9ab90688,301d725f-f623-4756-944a-761a61cdf22e,1754828500.6010423,1754828500.6026962,1754828502.1791549,1754828557.7990105,55.619855642318726,1754828557.809758,57.196314334869385,57.20871567726135
cca70ce6-1952-45d2-acd4-80c903b0bc49,3dea29a1-8812-49ee-bfd6-2d762a456891,1754828541.6996539,1754828541.7051122,1754828557.8076978,1754828634.9916956,77.18399786949158,1754828635.0020626,93.2865834236145,93.30240869522095
91f2bf12-5280-4efc-b9a7-26e67ca850b4,84c64919-71ec-4f99-8aeb-370ac78a3fc9,1754828549.3404927,1754828549.342166,1754828635.0003645,1754828683.2491593,48.24879479408264,1754828683.2590015,133.90699338912964,133.91850876808167
8f80e01c-1296-4371-9486-bb3d68651a60,324feb1e-7d38-459e-9063-502a5fb6d1ec,1754828556.977022,1754828556.9786723,1754828683.257086,1754828737.6853156,54.428229570388794,1754828737.694827,180.7066433429718,180.71780514717102
d62cbee6-47c7-4918-825d-3b73b1af7e85,6adb5a17-aaef-4569-adda-23c027bcb447,1754828559.6725466,1754828559.6742117,1754828737.692486,1754828806.9340284,69.24154233932495,1754828806.9430351,247.25981664657593,247.2704885005951
df6561b2-7ee5-4540-baab-5095f742716a,5f16c7d7-d83f-45ee-a433-19c29bdf86ab,1754828650.2650418,1754828650.2666657,1754828806.9407887,1754828896.6983507,89.75756192207336,1754828896.7066891,246.4316849708557,246.44164729118347
cca70ce6-1952-45d2-acd4-80c903b0bc49,818307a8-7e24-482a-ba17-8c6415fdd78a,1754828691.6370447,1754828691.6386654,1754828896.7058249,1754828983.6042266,86.89840173721313,1754828983.6119397,291.9655611515045,291.97489500045776
cca530fc-4052-43b2-b130-b30968d8aa44,fc858a95-f9b5-44e5-b933-c722228a561c,1754828747.098778,1754828747.1004355,1754828983.6131356,1754829038.5438607,54.93072509765625,1754829038.550938,291.44342517852783,291.4521598815918
8f80e01c-1296-4371-9486-bb3d68651a60,7c8ebaef-8cba-4daf-ad1a-91fdf0547603,1754828748.0357468,1754828748.0373805,1754829038.5517986,1754829093.34323,54.79143142700195,1754829093.3498917,345.30584955215454,345.3141448497772
cca70ce6-1952-45d2-acd4-80c903b0bc49,45c5db41-ead3-43a7-84f5-04acc432b844,1754828905.7932153,1754828905.7948372,1754829093.3509572,1754829167.5672216,74.21626448631287,1754829167.573357,261.7723844051361,261.78014183044434
e51753c7-3ef3-4404-a352-11a18e5760c9,978b2ddf-2e0e-4fd2-8c8e-6112cc58110e,1754828986.2170355,1754828986.2186942,1754829167.5752206,1754829218.2458673,50.67064666748047,1754829218.251303,232.02717304229736,232.0342674255371
9ca9bc20-1a0b-4076-9937-7724e3491cf8,fde35945-4350-44c3-9321-06137d7a25a1,1754828996.9687805,1754828996.9704494,1754829218.253676,1754829294.7503977,76.49672174453735,1754829294.7549927,297.7799482345581,297.78621220588684
171dd6d2-d1d4-439b-8d4e-7507018a816b,c8a6d2a9-f53d-448c-9c64-53ceeee37724,1754829006.0050178,1754829006.008401,1754829294.759059,1754829349.577269,54.81821012496948,1754829349.582267,343.5688681602478,343.57724928855896
