dag_id,uuid,sub_time,arrival_time,start_exec_time,finish_exec_time,exec_time,leave_time,completion_time,response_time
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,9101ae46-417b-486e-b518-095f15448f6d,1754980006.9188151,1754980006.9239328,1754980006.9241524,1754980142.9342048,136.01005244255066,1754980142.9342165,136.010272026062,136.0154013633728
0a3f0429-68e2-4343-94d1-d7e0b30abb39,52599023-201f-4be2-a534-3dd633cab12c,1754980006.9188151,1754980006.9371986,1754980142.938832,1754980208.6243317,65.68549966812134,1754980208.6243448,201.68713307380676,201.70552968978882
65afbc8a-89ca-4ad5-8d62-355bb401f61d,934d628e-f0e0-4529-ab44-036c080b56eb,1754980006.9188151,1754980006.940726,1754980208.635146,1754980326.116168,117.4810221195221,1754980326.116189,319.17544198036194,319.1973738670349
e4251249-ba81-4ecc-93bf-b9d1ca6182c4,2229c287-aeb5-4c5b-81b8-d01b26b8e5ee,1754980006.9188151,1754980006.9606228,1754980326.1245122,1754980455.329405,129.20489287376404,1754980455.3294177,448.3687822818756,448.4106025695801
4b21fc63-5f83-44cf-92a5-b526bdbca2bf,0bea929f-44e1-45c1-aadc-9c200c975b60,1754980006.9188151,1754980006.987849,1754980455.3384867,1754980500.31749,44.97900342941284,1754980500.3175008,493.3296411037445,493.39868569374084
6e2edd86-9bc7-4233-8de9-cae74e8d64bc,048f9ee6-b8aa-40b0-b8c1-12bdf58cec7f,1754980006.9188151,1754980007.0078824,1754980500.3243184,1754980545.2810812,44.95676279067993,1754980545.281097,538.2731988430023,538.3622817993164
eaf9ba14-bf52-4bbc-9d0b-f02d09379fac,46b1156c-3808-403f-84ce-11d9f704b313,1754980006.9188151,1754980007.050941,1754980545.288867,1754980590.4530747,45.16420769691467,1754980590.4530873,583.4021337032318,583.5342721939087
075d3bf5-6718-4281-a604-89ae23be59de,71540990-dc0a-4060-b7dc-753e308b2577,1754980006.9188151,1754980007.0613518,1754980590.4584312,1754980606.8043315,16.345900297164917,1754980606.804343,599.7429797649384,599.8855278491974
66fc373a-48ae-4fbc-a76b-34cbc1f9883b,4573e482-e450-4132-b47c-c60fffedd24b,1754980006.9188151,1754980007.0730898,1754980606.8067477,1754980693.4857767,86.67902898788452,1754980693.4857907,686.4126868247986,686.5669755935669
9a9e376c-0089-4a3e-8480-f05df35ae465,412f6fa7-5841-4926-b15d-b919fd3b392c,1754980006.9188151,1754980007.0838,1754980693.5348961,1754980753.201123,59.666226863861084,1754980753.201137,746.1173229217529,746.2823219299316
bb6f6cc9-acbc-4981-8408-f7efdde1b6ff,fe4b6bd5-40ef-4216-9a1b-afbdec40983c,1754980006.9188151,1754980007.0852757,1754980753.209457,1754980854.9775727,101.76811575889587,1754980854.9775865,847.8922970294952,848.0587713718414
66178938-a45d-44c9-971d-a68c975c83ac,e148c0e4-8567-4cbd-a019-102ae04284da,1754980006.9188151,1754980007.0931528,1754980854.98485,1754980997.18014,142.19529008865356,1754980997.1801515,990.0869872570038,990.2613363265991
abc11426-7074-4dc5-882b-c1ac0cead551,f40f2c17-07a6-4d7e-9974-3c13af73e6be,1754980006.9188151,1754980007.0934045,1754980997.1863532,1754981145.5441804,148.35782718658447,1754981145.5441911,1138.45077586174,1138.6253759860992
e9384ee0-12a0-47b4-a153-88777124ffc3,a7764b14-b98a-4c18-a722-dbd9f54cfcd2,1754980006.9188151,1754980007.0950372,1754981145.5501268,1754981233.4963734,87.94624662399292,1754981233.4963846,1226.4013361930847,1226.5775694847107
5f2b2e54-5047-4394-81be-198230c3b508,6315d053-46a4-40e7-831f-4f7bd5e800d3,1754980006.9188151,1754980007.0964928,1754981233.5023432,1754981336.2403393,102.7379961013794,1754981336.240361,1329.1438465118408,1329.3215458393097
c7c3abcb-9bdf-4e03-93fd-5eff02c8a7f4,f208743d-e2c7-421a-b7f7-1ebf35d02a24,1754980006.9188151,1754980007.098529,1754981336.2457495,1754981422.7425635,86.49681401252747,1754981422.7425754,1415.6440343856812,1415.8237602710724
037cb165-36ae-4b19-b45e-af00eafac2a2,2492d9f5-6019-4c55-9d34-14bbb6030a3b,1754980006.9188151,1754980007.1012297,1754981422.7665532,1754981506.9394526,84.1728994846344,1754981506.9394643,1499.8382229804993,1500.0206491947174
4d51c4bf-4b0e-4f3d-897b-3f6687a7d9f2,47e4f875-96a4-4b6c-afe6-1f6195c33723,1754980006.9188151,1754980007.1037505,1754981506.9450963,1754981587.4305475,80.48545122146606,1754981587.4305663,1580.3267970085144,1580.5117511749268
67e8878b-5cef-4375-804e-e6291fdbe78a,b3330cd9-7a04-479b-9574-cf72de95ab93,1754980006.9188151,1754980007.1063085,1754981587.435956,1754981699.1432369,111.70728087425232,1754981699.1432579,1692.0369284152985,1692.2244427204132
e51753c7-3ef3-4404-a352-11a18e5760c9,6fbb02c3-20ad-4d2c-8e16-4f5187105df3,1754980006.9188151,1754980007.1088367,1754981699.1526666,1754981711.5729737,12.420307159423828,1754981711.572986,1704.4641370773315,1704.6541707515717
2f57f421-94ea-4a1a-a0c0-976124c96465,7d13d739-3a1f-4d09-a9d1-4a7b98db029f,1754980006.9188151,1754980007.1158674,1754981711.573177,1754981737.2059684,25.63279128074646,1754981737.2059796,1730.0901010036469,1730.2871644496918
b991b184-e25a-42e6-8d42-7b0a7e2eefca,f37e9beb-09f8-417a-aa85-526c06e4821e,1754980006.9188151,1754980007.1300664,1754981737.2126555,1754981782.0361247,44.823469161987305,1754981782.036139,1774.9060583114624,1775.1173238754272
