dag_id,uuid,sub_time,arrival_time,start_exec_time,finish_exec_time,exec_time,leave_time,completion_time,response_time
075d3bf5-6718-4281-a604-89ae23be59de,2b8bc8a5-c5f3-4437-9af1-02ff1f6c4178,1754888863.4983025,1754888864.2542171,1754888864.6467438,1754888927.0729065,62.42616271972656,1754888927.077321,62.81868934631348,63.57901859283447
aebaa7b3-5579-44fe-965b-d83c4e0e96c9,e0a0e940-ccc0-4a79-ae69-57afbcf38208,1754888863.4983025,1754888865.4137871,1754888927.0848541,1754888956.0126956,28.927841424942017,1754888956.0166235,90.59890842437744,92.51832103729248
9a9e376c-0089-4a3e-8480-f05df35ae465,0dd30d4b-82cc-4abe-a8a2-5b062e351d6e,1754888863.4983025,1754888864.5680196,1754888865.026882,1754888968.0307343,103.00385236740112,1754888968.0360708,103.46271467208862,104.53776836395264
4b21fc63-5f83-44cf-92a5-b526bdbca2bf,c6d17003-167c-4993-a6c7-6a6f328d2fe0,1754888863.4983025,1754888863.9169755,1754888864.1862578,1754888972.5560386,108.36978077888489,1754888972.5589318,108.6390631198883,109.06062936782837
eaf9ba14-bf52-4bbc-9d0b-f02d09379fac,058dd7c2-37dc-4786-8574-58e58ba15d44,1754888863.4983025,1754888864.1445622,1754888864.4924781,1754888986.225755,121.73327684402466,1754888986.2287524,122.0811927318573,122.73044991493225
6e2edd86-9bc7-4233-8de9-cae74e8d64bc,c7c924fa-4f80-4a22-b1e6-2090a964ce28,1754888863.4983025,1754888863.996207,1754888972.5598445,1754889024.8722913,52.31244683265686,1754889024.8750153,160.87608432769775,161.37671279907227
2f57f421-94ea-4a1a-a0c0-976124c96465,f2af33b9-582d-4a27-a41e-46fdcb145da3,1754888863.4983025,1754888865.1283343,1754888986.2296503,1754889028.6498604,42.420210123062134,1754889028.6528735,163.52152609825134,165.15457105636597
0a3f0429-68e2-4343-94d1-d7e0b30abb39,f8d53b8e-df63-465a-ae1d-8f4d273836e2,1754888863.4983025,1754888863.503734,1754888863.9979842,1754889051.7736816,187.7756974697113,1754889051.7794845,188.2699475288391,188.28118205070496
48ecd30a-b09b-44d6-839f-631296644617,3c6e18e2-350e-4af5-8a9c-4ddf72b10480,1754888863.4983025,1754888865.8471892,1754889028.653859,1754889069.5874677,40.93360877037048,1754889069.5904655,203.74027848243713,206.0921630859375
27d5d136-8563-469e-92bf-fd103c28b57c,8ebc0acb-c0bf-4f70-bccb-c107ebee5ef9,1754888863.4983025,1754888866.31793,1754888866.3630612,1754889069.7472184,203.38415718078613,1754889069.7413228,203.42928838729858,206.2430202960968
e51753c7-3ef3-4404-a352-11a18e5760c9,d5354da4-bd50-4792-8297-029c1bb2aaca,1754888863.4983025,1754888865.1224656,1754888865.2271876,1754889110.345579,245.11839127540588,1754889110.3470945,245.22311329841614,246.84879207611084
b991b184-e25a-42e6-8d42-7b0a7e2eefca,0787b84f-3aff-41da-8b41-02500805cbf5,1754888863.4983025,1754888865.1613626,1754889024.8813286,1754889117.7751358,92.89380717277527,1754889117.7777,252.6137731075287,254.27939748764038
65afbc8a-89ca-4ad5-8d62-355bb401f61d,d1e9e3b3-ad84-4889-ba12-26894cb2b712,1754888863.4983025,1754888863.5719612,1754888864.5000343,1754889128.161016,263.66098165512085,1754889128.1551383,264.58905482292175,264.65683579444885
58ee0f84-1735-43a3-9de4-4d91bc182c6e,75d4495e-dc8b-46e7-adfb-18885e362258,1754888863.4983025,1754888866.0394857,1754889117.7785878,1754889158.0508738,40.27228593826294,1754889158.0534453,292.0113880634308,294.5551428794861
