dag_id,run_id,task_name,task_id,sub_time,arrival_time,start_exec_time,finish_exec_time,exec_time,leave_time,completion_time,response_time,scheduler_cost_time,pred_exec_time,pred_cost_time
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,7a93578f-a811-4ce1-a194-4a1c206d11d7,task1_start_receive_task,7a93578f-a811-4ce1-a194-4a1c206d11d7-task1_start_receive_task,1755047536.9971907,1755047537.002667,1755047541.249374,1755047541.262881,0.01350712776184082,1755047541.292632,4.26021409034729,4.295441389083862,0,0,0
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,7a93578f-a811-4ce1-a194-4a1c206d11d7,task2_read_file,7a93578f-a811-4ce1-a194-4a1c206d11d7-task2_read_file,1755047536.9971907,1755047537.002667,1755047542.5528858,1755047542.566416,0.013530254364013672,1755047542.5929828,5.563749074935913,5.595792055130005,0,0,0
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,7a93578f-a811-4ce1-a194-4a1c206d11d7,task3_file_process,7a93578f-a811-4ce1-a194-4a1c206d11d7-task3_file_process,1755047536.9971907,1755047537.002667,1755047545.077929,1755047545.3145523,0.23662328720092773,1755047545.3661711,8.311885356903076,8.368980407714844,0,0,0
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,7a93578f-a811-4ce1-a194-4a1c206d11d7,task4a_vlm_process,7a93578f-a811-4ce1-a194-4a1c206d11d7-task4a_vlm_process,1755047536.9971907,1755047537.002667,1755047549.3524902,1755047718.5421386,169.18964838981628,1755047718.6592116,181.53947162628174,181.66202092170715,0,0,0
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,7a93578f-a811-4ce1-a194-4a1c206d11d7,task4b_vlm_process,7a93578f-a811-4ce1-a194-4a1c206d11d7-task4b_vlm_process,1755047536.9971907,1755047537.002667,1755047549.4735281,1755047695.8942535,146.42072534561157,1755047696.041616,158.89158654212952,159.04442524909973,0,0,0
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,7a93578f-a811-4ce1-a194-4a1c206d11d7,task4c_vlm_process,7a93578f-a811-4ce1-a194-4a1c206d11d7-task4c_vlm_process,1755047536.9971907,1755047537.002667,1755047549.612221,1755047693.0523899,143.44016885757446,1755047693.1859362,156.04972290992737,156.18874549865723,0,0,0
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,7a93578f-a811-4ce1-a194-4a1c206d11d7,task4d_vlm_process,7a93578f-a811-4ce1-a194-4a1c206d11d7-task4d_vlm_process,1755047536.9971907,1755047537.002667,1755047549.6640525,1755047704.4113142,154.74726176261902,1755047704.5568178,167.40864729881287,167.55962705612183,0,0,0
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,7a93578f-a811-4ce1-a194-4a1c206d11d7,task4_merge_results,7a93578f-a811-4ce1-a194-4a1c206d11d7-task4_merge_results,1755047536.9971907,1755047537.002667,1755047720.5419402,1755047720.550047,0.008106708526611328,1755047720.5815935,183.54737997055054,183.58440279960632,0,0,0
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,7a93578f-a811-4ce1-a194-4a1c206d11d7,task5_output_final_answer,7a93578f-a811-4ce1-a194-4a1c206d11d7-task5_output_final_answer,1755047536.9971907,1755047537.002667,1755047721.9086573,1755047721.913388,0.004730701446533203,1755047721.9408221,184.9107210636139,184.94363141059875,0,0,0
0a3f0429-68e2-4343-94d1-d7e0b30abb39,2cfcc8aa-00f7-4ece-b26d-cb688eb395ab,task0_init,2cfcc8aa-00f7-4ece-b26d-cb688eb395ab-task0_init,1755047808.0051808,1755047808.0075843,1755047809.831406,1755047810.073687,0.2422809600830078,1755047810.130396,2.0661027431488037,2.1252150535583496,0,0,0
0a3f0429-68e2-4343-94d1-d7e0b30abb39,2cfcc8aa-00f7-4ece-b26d-cb688eb395ab,task1_llm_process1,2cfcc8aa-00f7-4ece-b26d-cb688eb395ab-task1_llm_process1,1755047808.0051808,1755047808.0075843,1755047811.3896782,1755047940.2777457,128.88806748390198,1755047940.6645927,132.27016139030457,132.65941190719604,0,0,0
0a3f0429-68e2-4343-94d1-d7e0b30abb39,2cfcc8aa-00f7-4ece-b26d-cb688eb395ab,task2_get_user_and_reservation_details,2cfcc8aa-00f7-4ece-b26d-cb688eb395ab-task2_get_user_and_reservation_details,1755047808.0051808,1755047808.0075843,1755047942.8951733,1755047943.0813825,0.18620920181274414,1755047943.1694856,135.07379817962646,135.16430473327637,0,0,0
