dag_id,uuid,sub_time,arrival_time,start_exec_time,finish_exec_time,exec_time,leave_time,completion_time,response_time
3cef3a44-215e-4aed-8e3b-b1e3f08063b7,ceeac38b-10c6-4f4e-9129-82814ba61fc5,1754786288.4132864,1754786288.4170067,1754786288.440406,1754786555.4365714,266.99616527557373,1754786563.5265608,267.0195646286011,275.1132743358612
d62cbee6-47c7-4918-825d-3b73b1af7e85,9830570b-596a-470d-9624-5ee2fe01fdc1,1754786542.3287232,1754786542.3303325,1754786542.3250723,1754786618.18182,75.8567476272583,1754786619.9791677,75.85148739814758,77.65044450759888
1f975693-876d-457b-a649-393859e79bf3,4c057490-37d7-4c51-8f52-f3ede46be362,1754786483.241226,1754786483.2584305,1754786483.2875078,1754786638.3411489,155.05364108085632,1754786647.2267451,155.08271837234497,163.9855191707611
366e2f2b-8632-4ef2-81eb-bc3877489217,d0ba3ecd-3aa9-49a7-8fb8-ffcb42ff3ee7,1754786531.9972043,1754786531.9987776,1754786532.022874,1754786763.4298897,231.4070155620575,1754786763.4339962,231.43111205101013,231.43679189682007
0bb3b44a-ede5-4db5-a520-4e844b0079c5,e971b910-6033-4766-b5cf-8ee1ad8311ac,1754786423.9652104,1754786423.9668596,1754786563.5377455,1754786797.332526,233.7947804927826,1754786805.7626126,373.36566638946533,381.7974021434784
50ad0280-0819-4bd9-b275-5de32d3b5bcb,6dec0691-b2db-46de-b720-8b6d7040d9ce,1754786524.3571625,1754786524.360647,1754786805.7704568,1754787030.0252683,224.25481152534485,1754787033.6858737,505.6646213531494,509.328711271286
dd024dd9-8da6-4d4e-aee1-ed0d999035a9,4765fba0-6786-4030-977e-1ca2ee58028f,1754786632.9249687,1754786632.9269311,1754786763.4443934,1754787037.1633532,273.7189598083496,1754787049.9293597,404.23642206192017,417.0043909549713
df6561b2-7ee5-4540-baab-5095f742716a,eae99b14-0ed8-4082-bdb8-e915d05d908b,1754786979.6450136,1754786979.6468165,1754786979.6265066,1754787075.0998254,95.47331881523132,1754787075.1330054,95.45300889015198,95.48799180984497
1f975693-876d-457b-a649-393859e79bf3,56a48b06-89c6-4fc9-9966-2e6d38f59364,1754787014.1516628,1754787014.1553648,1754787014.1678061,1754787137.854931,123.68712496757507,1754787137.8593843,123.69956636428833,123.7077214717865
9ca9bc20-1a0b-4076-9937-7724e3491cf8,17fbe5fb-7a4a-4671-ba52-4ffc3d6800ce,1754786988.684651,1754786988.6863377,1754787075.1156573,1754787155.578082,80.46242475509644,1754787163.6356387,166.89174437522888,174.95098781585693
