dag_id,run_id,task_name,task_id,sub_time,arrival_time,start_exec_time,finish_exec_time,exec_time,leave_time,completion_time,response_time,scheduler_cost_time,pred_exec_time,pred_cost_time
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,78d4ea6d-7250-4074-8e16-2dec16712a00,task1_start_receive_task,78d4ea6d-7250-4074-8e16-2dec16712a00-task1_start_receive_task,1754733045.637028,1754733045.6427317,1754733050.0332527,1754733050.0473382,0.014085531234741211,1754733050.0927055,4.404606580734253,4.455677509307861,4.5299530029296875e-06,,
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,78d4ea6d-7250-4074-8e16-2dec16712a00,task2_read_file,78d4ea6d-7250-4074-8e16-2dec16712a00-task2_read_file,1754733045.637028,1754733045.6427317,1754733051.351058,1754733051.3643298,0.013271808624267578,1754733051.4069529,5.721598148345947,5.769924879074097,3.314018249511719e-05,3.0,1.71661376953125e-05
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,78d4ea6d-7250-4074-8e16-2dec16712a00,task3_file_process,78d4ea6d-7250-4074-8e16-2dec16712a00-task3_file_process,1754733045.637028,1754733045.6427317,1754733053.9630113,1754733054.1988997,0.23588848114013672,1754733054.2658238,8.55616807937622,8.628795862197876,1.8835067749023438e-05,3.0,1.0013580322265625e-05
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,78d4ea6d-7250-4074-8e16-2dec16712a00,task4a_vlm_process,78d4ea6d-7250-4074-8e16-2dec16712a00-task4a_vlm_process,1754733045.637028,1754733045.6427317,1754733212.857064,1754733248.9947433,36.1376793384552,1754733249.1433268,203.35201168060303,203.50629878044128,0.0004279613494873047,15.0,0.00041961669921875
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,78d4ea6d-7250-4074-8e16-2dec16712a00,task4b_vlm_process,78d4ea6d-7250-4074-8e16-2dec16712a00-task4b_vlm_process,1754733045.637028,1754733045.6427317,1754733252.9495378,1754733278.9225771,25.973039388656616,1754733279.0593784,233.2798454761505,233.42235040664673,0.0002543926239013672,15.0,0.00024890899658203125
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,78d4ea6d-7250-4074-8e16-2dec16712a00,task4c_vlm_process,78d4ea6d-7250-4074-8e16-2dec16712a00-task4c_vlm_process,1754733045.637028,1754733045.6427317,1754733282.8976371,1754733312.0119703,29.114333152770996,1754733312.1601195,266.369238615036,266.5230915546417,0.00014162063598632812,15.0,0.00013589859008789062
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,78d4ea6d-7250-4074-8e16-2dec16712a00,task4d_vlm_process,78d4ea6d-7250-4074-8e16-2dec16712a00-task4d_vlm_process,1754733045.637028,1754733045.6427317,1754733316.50715,1754733349.6614804,33.15433049201965,1754733349.830221,304.0187487602234,304.1931929588318,0.00017547607421875,15.0,0.00017023086547851562
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,78d4ea6d-7250-4074-8e16-2dec16712a00,task4_merge_results,78d4ea6d-7250-4074-8e16-2dec16712a00-task4_merge_results,1754733045.637028,1754733045.6427317,1754733351.7499669,1754733351.759398,0.009431123733520508,1754733351.8022776,306.1166663169861,306.16524958610535,2.288818359375e-05,1.0,1.2874603271484375e-05
8c7989f9-67fc-435b-bb60-c9b7b8e6bfbb,78d4ea6d-7250-4074-8e16-2dec16712a00,task5_output_final_answer,78d4ea6d-7250-4074-8e16-2dec16712a00-task5_output_final_answer,1754733045.637028,1754733045.6427317,1754733353.0658734,1754733353.0709286,0.00505518913269043,1754733353.1149616,307.42819690704346,307.4779336452484,1.6927719116210938e-05,1.0,9.059906005859375e-06
0a3f0429-68e2-4343-94d1-d7e0b30abb39,3ad86260-ae47-41ec-b492-3d837e7fee0f,task0_init,3ad86260-ae47-41ec-b492-3d837e7fee0f-task0_init,1754733316.645017,1754733316.6475909,1754733317.8480368,1754733318.0860317,0.23799490928649902,1754733318.4325147,1.4384407997131348,1.7874977588653564,5.0067901611328125e-06,,
0a3f0429-68e2-4343-94d1-d7e0b30abb39,3ad86260-ae47-41ec-b492-3d837e7fee0f,task1_llm_process1,3ad86260-ae47-41ec-b492-3d837e7fee0f-task1_llm_process1,1754733316.645017,1754733316.6475909,1754733421.7683432,1754733464.3478312,42.579488039016724,1754733464.3874335,147.70024037361145,147.74241662025452,0.00014591217041015625,15.0,0.00013780593872070312
0a3f0429-68e2-4343-94d1-d7e0b30abb39,3ad86260-ae47-41ec-b492-3d837e7fee0f,task2_get_user_and_reservation_details,3ad86260-ae47-41ec-b492-3d837e7fee0f-task2_get_user_and_reservation_details,1754733316.645017,1754733316.6475909,1754733466.0403666,1754733466.2256715,0.18530488014221191,1754733466.2880495,149.5780806541443,149.64303255081177,1.9550323486328125e-05,3.0,1.1205673217773438e-05
0a3f0429-68e2-4343-94d1-d7e0b30abb39,3ad86260-ae47-41ec-b492-3d837e7fee0f,task3_cancel_reservation,3ad86260-ae47-41ec-b492-3d837e7fee0f-task3_cancel_reservation,1754733316.645017,1754733316.6475909,1754733468.4726624,1754733468.6513689,0.17870640754699707,1754733468.7434294,152.00377798080444,152.0984125137329,1.621246337890625e-05,1.0,9.059906005859375e-06
0a3f0429-68e2-4343-94d1-d7e0b30abb39,3ad86260-ae47-41ec-b492-3d837e7fee0f,task4_search_new_flights,3ad86260-ae47-41ec-b492-3d837e7fee0f-task4_search_new_flights,1754733316.645017,1754733316.6475909,1754733470.3733392,1754733470.573732,0.2003927230834961,1754733470.6475537,153.92614102363586,154.00253677368164,1.5974044799804688e-05,3.0,8.58306884765625e-06
0a3f0429-68e2-4343-94d1-d7e0b30abb39,3ad86260-ae47-41ec-b492-3d837e7fee0f,task5_llm_process2,3ad86260-ae47-41ec-b492-3d837e7fee0f-task5_llm_process2,1754733316.645017,1754733316.6475909,1754733472.5039887,1754733511.0991578,38.59516906738281,1754733511.1262915,194.45156693458557,194.48127460479736,0.00014829635620117188,15.0,0.00013971328735351562
0a3f0429-68e2-4343-94d1-d7e0b30abb39,3ad86260-ae47-41ec-b492-3d837e7fee0f,task6_book_new_reservation,3ad86260-ae47-41ec-b492-3d837e7fee0f-task6_book_new_reservation,1754733316.645017,1754733316.6475909,1754733512.7668507,1754733512.947005,0.18015432357788086,1754733512.9988039,196.29941415786743,196.35378694534302,1.7404556274414062e-05,3.0,9.775161743164062e-06
6e2edd86-9bc7-4233-8de9-cae74e8d64bc,e152d723-c877-4e36-b355-9c3444463c8d,task0_init,e152d723-c877-4e36-b355-9c3444463c8d-task0_init,1754733548.0576003,1754733548.060114,1754733550.079662,1754733550.1666443,0.08698225021362305,1754733550.2394135,2.1065304279327393,2.1818132400512695,4.291534423828125e-06,,
6e2edd86-9bc7-4233-8de9-cae74e8d64bc,e152d723-c877-4e36-b355-9c3444463c8d,task1_llm_process,e152d723-c877-4e36-b355-9c3444463c8d-task1_llm_process,1754733548.0576003,1754733548.060114,1754733552.1010525,1754733599.2514286,47.150376081466675,1754733599.3545134,51.191314697265625,51.296913146972656,0.00014066696166992188,15.0,0.00013256072998046875
6e2edd86-9bc7-4233-8de9-cae74e8d64bc,e152d723-c877-4e36-b355-9c3444463c8d,task2a_find_user,e152d723-c877-4e36-b355-9c3444463c8d-task2a_find_user,1754733548.0576003,1754733548.060114,1754733601.075452,1754733601.0806828,0.00523066520690918,1754733601.1517253,53.02056884765625,53.09412503242493,2.002716064453125e-05,3.0,1.0728836059570312e-05
6e2edd86-9bc7-4233-8de9-cae74e8d64bc,e152d723-c877-4e36-b355-9c3444463c8d,task2b_get_order_details,e152d723-c877-4e36-b355-9c3444463c8d-task2b_get_order_details,1754733548.0576003,1754733548.060114,1754733602.0054047,1754733602.0853148,0.0799100399017334,1754733602.2044318,54.025200843811035,54.14683151245117,0.00012040138244628906,3.0,0.00011587142944335938
6e2edd86-9bc7-4233-8de9-cae74e8d64bc,e152d723-c877-4e36-b355-9c3444463c8d,task3_execute_modifications,e152d723-c877-4e36-b355-9c3444463c8d-task3_execute_modifications,1754733548.0576003,1754733548.060114,1754733603.9847076,1754733604.067119,0.08241128921508789,1754733604.2099352,56.00700497627258,56.15233492851257,1.8358230590820312e-05,3.0,9.775161743164062e-06
6e2edd86-9bc7-4233-8de9-cae74e8d64bc,e152d723-c877-4e36-b355-9c3444463c8d,task4_output_result,e152d723-c877-4e36-b355-9c3444463c8d-task4_output_result,1754733548.0576003,1754733548.060114,1754733606.3386443,1754733606.339701,0.001056671142578125,1754733606.415629,58.27958703041077,58.35802865028381,1.6927719116210938e-05,1.0,8.58306884765625e-06
